100, 0.000799598, 517.78, 911.58
200, 0.00063824, 1093.58, 1937.8
300, 0.00098969, 1694.12, 2978.94
400, 0.00133016, 2284.52, 4027.8
500, 0.00166504, 2916.66, 5118.62
600, 0.00201061, 3526.8, 6197.76
700, 0.00239189, 4073.54, 7175.22
800, 0.00272298, 4696.94, 8258.6
900, 0.00308622, 5356.44, 9415.78
1000, 0.0039429, 5943.06, 10454.4
1100, 0.00393478, 6546.12, 11504.5
1200, 0.00410035, 7210.8, 12654.6
1300, 0.00437739, 7809.32, 13718.7
1400, 0.00460217, 8397.9, 14761.1
1500, 0.00488794, 9110.92, 16032.8
1600, 0.00564565, 9611.7, 16930.9
1700, 0.00586768, 10291.1, 18068.5
1800, 0.00653999, 10925.1, 19194.3
1900, 0.0069523, 11605.3, 20388.5
2000, 0.00708762, 12251, 21521.8
2100, 0.00715241, 12780.6, 22437
2200, 0.00750133, 13465, 23648.2
2300, 0.00790827, 14033.2, 24636.6
2400, 0.00937262, 14663.1, 25765.5
2500, 0.00860468, 15314.9, 26869.1
2600, 0.00913601, 15891.3, 27913.1
2700, 0.00931584, 16535.2, 29049.8
2800, 0.00957593, 17173.6, 30145.7
2900, 0.00981336, 17646.1, 30980.9
3000, 0.0102773, 18401.1, 32348.3
3100, 0.010689, 19058.7, 33499.8
3200, 0.0109903, 19685.1, 34617.7
3300, 0.0113264, 20303.4, 35666
3400, 0.0116446, 20979.9, 36871.1
3500, 0.0117779, 21341.1, 37525
3600, 0.0120765, 22214.5, 39031.3
3700, 0.0128285, 22834.4, 40125
3800, 0.0128464, 23501.7, 41306.7
3900, 0.0133811, 24100.2, 42335.8
4000, 0.0135912, 24741, 43460.4
4100, 0.0138073, 25354.5, 44533.6
4200, 0.0140975, 25766.9, 45264.5
4300, 0.0147691, 26644.2, 46786.9
4400, 0.0149666, 27242.8, 47837
4500, 0.0152585, 27907.7, 49048.6
4600, 0.0157701, 28635.4, 50250.8
4700, 0.0165487, 29149.2, 51217.6
4800, 0.0162221, 29704.4, 52150.5
4900, 0.0167704, 30279.3, 53198.3
5000, 0.0171022, 30921.8, 54305.6
5100, 0.0172613, 31496.5, 55327.2
5200, 0.0187563, 32200, 56532.9
5300, 0.0182982, 32915.4, 57789.7
5400, 0.0197324, 33490.8, 58823.9
5500, 0.0191809, 34178.7, 60020.4
5600, 0.0191142, 34724.5, 60989.2
5700, 0.0196503, 35400.2, 62177.2
5800, 0.0207789, 36090.8, 63367.9
5900, 0.0234325, 36740.7, 64531.8
6000, 0.0238641, 37187.4, 65278
