100, 0.000813345, 114.26, 314.42
200, 0.000610792, 243.92, 685.56
300, 0.000894038, 356.6, 1024.72
400, 0.00140594, 485.5, 1399.12
500, 0.00164046, 607.66, 1751.64
600, 0.00187928, 725.18, 2102.5
700, 0.00224507, 848.86, 2474.22
800, 0.00255173, 983.42, 2859.06
900, 0.00290569, 1112.24, 3239.04
1000, 0.00330084, 1245.56, 3627.36
1100, 0.00345673, 1357.62, 3960.6
1200, 0.00427459, 1484.52, 4344.74
1300, 0.00427176, 1599.88, 4695.94
1400, 0.00441366, 1723.24, 5058.94
1500, 0.00495276, 1873.96, 5492.68
1600, 0.00569304, 1995.36, 5841.2
1700, 0.00574952, 2128.6, 6241.3
1800, 0.0058205, 2249.66, 6605.56
1900, 0.0061632, 2392.48, 7014.4
2000, 0.00645056, 2508.54, 7368.1
2100, 0.00683387, 2615.42, 7688.74
2200, 0.0070741, 2742.26, 8067.1
2300, 0.00742236, 2885.96, 8472.94
2400, 0.00769478, 3001.84, 8837.54
2500, 0.00800531, 3120.78, 9194.08
2600, 0.00829451, 3233.92, 9548.84
2700, 0.00847964, 3386.06, 9988.34
2800, 0.00883003, 3511.2, 10340.6
2900, 0.00911941, 3640.14, 10748
3000, 0.00946836, 3781.92, 11155.1
3100, 0.00981756, 3911.4, 11538.9
3200, 0.0101009, 4056.16, 11939.8
3300, 0.0103622, 4136.98, 12231.6
3400, 0.0108237, 4288.66, 12636.7
3500, 0.0112714, 4362.72, 12857.2
3600, 0.0114839, 4517.02, 13342.1
3700, 0.0116988, 4662.76, 13777.8
3800, 0.0119524, 4794.7, 14166.2
3900, 0.0123505, 4918.82, 14522.2
4000, 0.012633, 5021.96, 14852.3
4100, 0.0129623, 5168.14, 15273.5
4200, 0.0133244, 5294.2, 15656.2
4300, 0.0136526, 5417.76, 16024.9
4400, 0.0138129, 5526.8, 16348.1
4500, 0.0143758, 5673.28, 16762.9
4600, 0.0146669, 5802.86, 17170.1
4700, 0.0151711, 5912.22, 17497.6
4800, 0.0154682, 6041.24, 17883.7
4900, 0.0154591, 6155.66, 18223.7
5000, 0.0162042, 6279.62, 18604.9
5100, 0.0160865, 6416.02, 19009
5200, 0.0163571, 6549.02, 19411.7
5300, 0.0166612, 6683.28, 19801.4
5400, 0.0171583, 6779.66, 20086.6
5500, 0.0174399, 6921.2, 20526.4
5600, 0.01933, 7051.78, 20899.5
5700, 0.0211948, 7177.64, 21268.2
5800, 0.0204191, 7310.02, 21681.1
5900, 0.0189881, 7422.14, 22018.3
6000, 0.019587, 7578.96, 22471.3
6100, 0.0195638, 7702.16, 22828.8
6200, 0.0199859, 7837.36, 23237.7
6300, 0.0202034, 7955.12, 23568.5
6400, 0.0205113, 8143.62, 24122.7
6500, 0.0206455, 8250.62, 24452
6600, 0.0209179, 8376.96, 24823.3
6700, 0.022514, 8508.26, 25218.7
6800, 0.0214788, 8598.9, 25493.1
6900, 0.022261, 8744.12, 25934.7
7000, 0.022319, 8862.22, 26280.6
7100, 0.0224986, 8968.12, 26587.8
7200, 0.0228256, 9143.72, 27103.9
7300, 0.0233253, 9252.46, 27413.7
7400, 0.0234404, 9363.06, 27744
7500, 0.023752, 9477.82, 28099.6
7600, 0.0245798, 9639.88, 28581.5
7700, 0.0243308, 9740.1, 28880.1
7800, 0.0245604, 9821.76, 29167.2
7900, 0.0271364, 9982.98, 29638.5
8000, 0.0302218, 10102.6, 29987
8100, 0.0271164, 10229.6, 30354.5
8200, 0.0267369, 10375.9, 30807.9
8300, 0.0266702, 10554.5, 31339.5
8400, 0.0268955, 10655.4, 31610.5
8500, 0.0272064, 10773.6, 31987.4
8600, 0.0273172, 10884.3, 32302.8
8700, 0.0276809, 11022.2, 32715
8800, 0.0278901, 11134.8, 33077.4
8900, 0.031299, 11288.6, 33499
9000, 0.0287975, 11385.5, 33794.6
9100, 0.0290143, 11554, 34290.5
9200, 0.0294057, 11644.9, 34586.9
9300, 0.0297025, 11753.9, 34920.1
9400, 0.0302697, 11909.7, 35350.9
9500, 0.0309474, 12020.9, 35710.9
9600, 0.0308008, 12159, 36114.5
9700, 0.0306363, 12276.1, 36468.8
9800, 0.0312407, 12424.3, 36915
9900, 0.0314782, 12555.3, 37301.4
10000, 0.0319029, 12664.2, 37614.4
10100, 0.0320675, 12751.8, 37927.9
10200, 0.0324162, 12921.6, 38432.6
10300, 0.0327348, 13068, 38841
10400, 0.0330738, 13200.4, 39237.3
10500, 0.0334479, 13276.3, 39469.9
10600, 0.0341426, 13386.9, 39806.2
10700, 0.0340985, 13544.2, 40276.9
10800, 0.0344882, 13656.6, 40591.7
10900, 0.0343928, 13788.6, 40971.1
11000, 0.0368329, 13897.8, 41325.4
11100, 0.035974, 14039.1, 41739.6
11200, 0.0356794, 14176.3, 42185.3
11300, 0.0367793, 14230, 42331
11400, 0.0365556, 14469.3, 43055.9
11500, 0.0370109, 14623, 43476.2
11600, 0.0365171, 14661.9, 43611.1
11700, 0.0407573, 14767.1, 43961.8
11800, 0.0375092, 14957.3, 44494.5
11900, 0.0377265, 15089.6, 44884.5
12000, 0.0381243, 15201.1, 45240.9
12100, 0.0385139, 15360.1, 45706.5
12200, 0.0390595, 15464.5, 46018.2
12300, 0.0392862, 15610.5, 46448.3
12400, 0.0393785, 15736.8, 46804.5
12500, 0.0395767, 15855.1, 47177.3
12600, 0.0416039, 16028.2, 47680.5
12700, 0.041183, 16129.4, 47968.8
12800, 0.0405836, 16237.3, 48313.5
12900, 0.0408884, 16336.5, 48580.3
13000, 0.0430642, 16523.3, 49145
